time,count
2020-12-19 08:20:02,46019
2020-12-19 20:20:03,45738
2020-12-20 08:20:02,45608
2020-12-20 20:20:03,45218
2020-12-21 08:20:01,44960
2020-12-21 20:20:02,44587
2020-12-22 08:20:01,44506
2020-12-22 20:20:02,44340
2020-12-23 08:20:01,44279
2020-12-23 20:20:03,44002
2020-12-24 08:20:01,44465
2020-12-24 20:20:01,44288
2020-12-25 08:20:02,44246
2020-12-25 20:20:01,43928
2020-12-26 08:20:01,43886
2020-12-26 20:20:02,43593
2020-12-27 08:20:01,43472
2020-12-27 20:20:01,43014
2020-12-28 08:20:01,42768
2020-12-28 20:20:01,41930
2020-12-29 08:20:01,41766
2020-12-29 20:20:01,41527
2020-12-30 08:20:01,41488
2020-12-30 20:20:02,41129
2020-12-31 08:20:01,41054
2020-12-31 20:20:03,40823
2021-01-01 08:20:01,40700
2021-01-01 20:20:02,40376
2021-01-02 08:20:01,40276
2021-01-02 20:20:05,39973
2021-01-03 08:20:03,39826
2021-01-03 20:20:03,39567
2021-01-04 08:20:02,39275
2021-01-04 20:20:03,38887
2021-01-05 08:20:02,38805
2021-01-05 20:20:03,38620
2021-01-06 08:20:02,38552
2021-01-06 20:20:02,38095
2021-01-07 08:20:01,38098
2021-01-07 20:20:02,37997
2021-01-08 08:20:03,37924
2021-01-08 20:20:03,37875
2021-01-09 08:20:02,37855
2021-01-09 20:20:02,37613
2021-01-10 08:20:03,37480
2021-01-10 20:20:02,37135
2021-01-11 08:20:02,36904
2021-01-11 20:20:02,36508
2021-01-12 08:20:01,36432
2021-01-12 20:20:07,36355
2021-01-13 08:20:01,36296
2021-01-13 20:20:03,36075
2021-01-14 08:20:03,36075
2021-01-14 20:20:10,35926
2021-01-15 08:20:02,35990
2021-01-15 20:20:04,35874
2021-01-16 08:20:02,35831
2021-01-16 20:20:03,35616
2021-01-17 08:20:02,35452
2021-01-17 20:20:04,35067
2021-01-18 08:20:02,34849
2021-01-18 20:20:03,34335
2021-01-19 08:20:02,34238
2021-01-19 20:20:02,34069
2021-01-20 08:20:02,34000
2021-01-20 20:20:03,33739
2021-01-21 08:20:02,33714
2021-01-21 20:20:03,33756
2021-01-22 08:20:03,33723
2021-01-22 20:20:02,33518
2021-01-23 08:20:02,33514
2021-01-23 20:20:03,33372
2021-01-24 08:20:02,33335
2021-01-24 20:20:04,33265
2021-01-25 08:20:02,33103
2021-01-25 20:20:03,32942
2021-01-26 08:20:02,33052
2021-01-26 20:20:03,33089
2021-01-27 08:20:03,33073
2021-01-27 20:20:02,33198
2021-01-28 08:20:03,33270
2021-01-28 20:20:05,33390
2021-01-29 08:20:02,33422
2021-01-29 20:20:02,33591
2021-01-30 08:20:02,33609
2021-01-30 20:20:02,33703
2021-01-31 08:20:02,33664
2021-01-31 20:20:02,33732
2021-02-01 08:20:01,33612
2021-02-01 20:20:01,33744
2021-02-02 08:20:02,33723
2021-02-02 20:20:02,33687
2021-02-03 08:20:02,33674
2021-02-03 20:20:02,33799
2021-02-04 08:20:01,33782
2021-02-04 20:20:02,33806
2021-02-05 08:20:01,33814
2021-02-05 20:20:03,33847
2021-02-06 08:20:02,33873
2021-02-06 20:20:02,33935
2021-02-07 08:20:02,33911
2021-02-07 20:20:02,33995
2021-02-08 08:20:02,33962
2021-02-08 20:20:06,33909
2021-02-09 08:20:03,33903
2021-02-09 20:20:06,33883
2021-02-10 08:20:02,33882
2021-02-10 20:20:04,33861
2021-02-11 08:20:01,33855
2021-02-11 20:20:02,33848
2021-02-12 08:20:01,33849
2021-02-13 08:20:01,33846
2021-02-13 20:20:04,33838
2021-02-14 08:20:02,33837
2021-02-14 20:20:03,33833
2021-02-15 08:20:02,33834
2021-02-15 20:21:11,33826
2021-02-16 08:20:02,33822
2021-02-16 20:20:04,33803
2021-02-17 08:20:02,33795
2021-02-17 20:20:03,33764
2021-02-18 08:20:02,33760
2021-02-18 20:20:03,33636
2021-02-19 08:20:02,33654
2021-02-19 20:20:05,34070
2021-02-20 08:20:02,34137
2021-02-20 20:20:03,34679
2021-02-21 08:20:02,34720
2021-02-21 20:20:03,35155
2021-02-22 08:20:02,35162
2021-02-22 20:20:02,35583
2021-02-23 08:20:01,34310
2021-02-23 20:20:04,34638
2021-02-24 08:20:02,34623
2021-02-24 20:20:02,35141
2021-02-25 08:20:02,35232
2021-02-25 20:20:06,35662
2021-02-26 08:20:03,35673
2021-02-26 20:20:03,35897
2021-02-27 08:20:05,35904
2021-02-27 20:21:08,36120
2021-02-28 08:20:03,36122
2021-02-28 20:20:12,36445
2021-03-01 08:20:02,36393
2021-03-01 20:20:01,36420
2021-03-02 08:20:01,36425
2021-03-02 20:20:01,36481
2021-03-03 08:20:01,36461
2021-03-03 20:20:02,36739
2021-03-06 20:20:01,37480
2021-03-07 08:20:01,37446
2021-03-07 20:20:01,37568
2021-03-08 08:20:02,37461
2021-03-08 20:20:01,37479
2021-03-09 08:20:01,37461
2021-03-09 20:20:01,37535
2021-03-10 08:20:01,37495
2021-03-10 20:20:01,37511
2021-03-11 08:20:01,37551
2021-03-11 20:20:01,37716
2021-03-12 08:20:02,37742
2021-03-12 20:20:01,37783
2021-03-13 08:20:02,37836
2021-03-13 20:20:01,37944
2021-03-14 08:20:01,37890
2021-03-14 20:20:02,37933
2021-03-15 08:20:01,37817
2021-03-15 20:20:02,37875
2021-03-16 08:20:01,37874
2021-03-16 20:20:02,37822
2021-03-17 08:20:01,37809
2021-03-17 20:20:02,37932
2021-03-18 08:20:01,37980
2021-03-18 20:20:01,38086
2021-03-19 08:20:01,38065
2021-03-19 20:20:01,33923
2021-03-20 08:20:02,16531
2021-03-20 20:20:02,17956
2021-03-21 08:20:01,18009
2021-03-21 20:20:02,18584
2021-03-22 08:20:01,18516
2021-03-22 20:20:01,20780
2021-03-23 08:20:01,20849
2021-03-23 20:20:01,21590
2021-03-24 08:20:01,21573
2021-03-24 20:20:01,22530
2021-03-25 08:20:01,21123
2021-03-25 20:20:01,22520
2021-03-26 08:20:01,22576
2021-03-26 20:20:01,24162
2021-03-27 08:20:01,24252
2021-03-27 20:20:01,24794
2021-03-28 08:20:01,24777
2021-03-28 20:20:01,25060
2021-03-29 08:20:01,24963
2021-03-29 20:20:01,25881
2021-03-30 08:20:02,25862
2021-03-30 20:20:01,26063
2021-03-31 08:20:01,26034
2021-03-31 20:20:02,26334
2021-04-01 08:20:01,26385
2021-04-01 20:20:01,26832
2021-04-02 08:20:01,26845
2021-04-02 20:20:01,27384
2021-04-03 08:20:01,27421
2021-04-03 20:20:01,27436
2021-04-04 08:20:01,27385
2021-04-04 20:20:01,27323
2021-04-05 08:20:00,27270
2021-04-05 20:20:01,27268
2021-04-06 08:20:01,27201
2021-04-06 20:20:01,27812
2021-04-07 08:20:01,27795
2021-04-07 20:20:01,28298
2021-04-08 08:20:01,28309
2021-04-08 20:20:01,28663
2021-04-09 08:20:01,28664
2021-04-09 20:20:01,28948
2021-04-10 08:20:01,28943
2021-04-10 20:20:01,29009
2021-04-11 08:20:01,28925
2021-04-11 20:20:01,28812
2021-04-12 08:20:02,28641
2021-04-12 20:20:01,29169
2021-04-13 08:20:02,29183
2021-04-13 20:20:01,29310
2021-04-14 08:20:01,29261
2021-04-14 20:20:01,29406
2021-04-15 08:20:01,29405
2021-04-15 20:20:01,29543
2021-04-16 08:20:01,29534
2021-04-16 20:20:01,29805
2021-04-17 08:20:01,29822
2021-04-17 20:20:01,29783
2021-04-18 08:20:01,29716
2021-04-18 20:20:01,29517
2021-04-19 08:20:01,29356
2021-04-19 20:20:01,29766
2021-04-20 08:20:01,29762
2021-04-20 20:20:01,29786
2021-04-21 08:20:01,29760
2021-04-21 20:20:01,29949
2021-04-22 08:20:01,29946
2021-04-22 20:20:01,30251
2021-04-23 08:20:01,30244
2021-04-23 20:20:01,30254
2021-04-24 08:20:01,30243
2021-04-24 20:20:01,30213
2021-04-25 08:20:01,30135
2021-04-25 20:20:01,30421
2021-04-26 08:20:01,30299
2021-04-26 20:20:01,30440
2021-04-27 08:20:01,28687
2021-04-27 20:20:01,28935
2021-04-28 08:20:02,28895
2021-04-28 20:20:02,29091
2021-04-29 08:20:01,29063
2021-04-29 20:20:01,29378
2021-04-30 08:20:02,29357
2021-04-30 20:20:01,29792
2021-05-01 08:20:01,31918
2021-05-01 20:20:01,31854
2021-05-02 08:20:01,31803
2021-05-02 20:20:01,31737
2021-05-03 08:20:01,31699
2021-05-03 20:20:02,31567
2021-05-04 08:20:01,31576
2021-05-04 20:20:01,31470
2021-05-05 08:20:01,31445
2021-05-05 20:20:01,31292
2021-05-06 08:20:01,31157
2021-05-06 20:20:01,31732
2021-05-07 08:20:01,31710
2021-05-07 20:20:01,32002
2021-05-08 08:20:01,31969
2021-05-08 20:20:01,32271
2021-05-09 08:20:02,32221
